# EDGA-QED: state=0 mode=genetic completeness=0.9915803236 n_det=17030 gen=2 n_ph_max=10
  -0.014601221219566    0  1144434211  |2 3 4 6 7  |2 3 4 5 6 
  -0.014541777749937    0  1434411241  |1 3 4 7 8  |1 2 3 4 8 
   0.014541776388744    0  1424411341  |1 2 3 4 8  |1 3 4 7 8 
  -0.014541769150885    0  1442441311  |1 2 3 4 5  |1 2 4 5 7 
   0.014541737049287    0  1443441211  |1 2 4 5 7  |1 2 3 4 5 
  -0.014532728095629    0  2433421231  |0 1 4 5 7  |1 2 3 4 8 
  -0.014532700961471    0  3422421331  |1 2 3 4 5  |0 1 4 7 8 
   0.014530972829413    0  2433431221  |0 1 4 7 8  |1 2 3 4 5 
   0.014530935945729    0  3422431321  |1 2 3 4 8  |0 1 4 5 7 
  -0.014461643681045    0  4443141112  |0 1 2 5 9  |0 1 2 3 5 
   0.014461610581441    0  4124413141  |0 2 3 4 8  |0 3 4 6 8 
   0.014461589273317    0  4442141113  |0 1 2 3 5  |0 1 2 5 9 
  -0.014461577216672    0  4134412141  |0 3 4 6 8  |0 2 3 4 8 
   0.014357477546816    0  3442321312  |1 2 3 5 9  |0 1 2 4 7 
  -0.014357364682092    0  2234413231  |0 1 3 4 7  |2 3 4 6 8 
   0.014356086050108    0  3324412321  |2 3 4 6 8  |0 1 3 4 7 
  -0.014355929383938    0  2443231213  |0 1 2 4 7  |1 2 3 5 9 
   0.014210006474152    0  2414411431  |0 1 3 4 7  |1 3 4 7 8 
  -0.014210004279298    0  3441421411  |1 2 4 5 7  |0 1 2 4 7 
  -0.014210002331102    0  3414411421  |1 3 4 7 8  |0 1 3 4 7 
   0.014209988935326    0  2441431411  |0 1 2 4 7  |1 2 4 5 7 
   0.014191722154654    0  4414111234  |0 1 3 7 9  |0 1 3 8 9 
   0.014191620320424    0  4141424311  |0 2 4 5 6  |0 2 4 6 7 
  -0.014191340514812    0  4414111324  |0 1 3 8 9  |0 1 3 7 9 
  -0.014191293847885    0  4141434211  |0 2 4 6 7  |0 2 4 5 6 
   0.014125615282615    0  3432421231  |1 3 4 5 7  |0 1 2 4 8 
   0.014125601857202    0  2432421331  |0 1 3 4 5  |1 2 4 7 8 
  -0.014124199727476    0  3423431221  |1 2 4 7 8  |0 1 3 4 5 
  -0.014124198935374    0  2423431321  |0 1 2 4 8  |1 3 4 5 7 
  -0.014053637761378    0  1441431412  |1 2 4 7 9  |1 2 4 5 7 
   0.014053553499957    0  1414413421  |1 3 4 7 8  |1 3 4 6 7 
  -0.014053458513107    0  1414412431  |1 3 4 6 7  |1 3 4 7 8 
   0.014053406183455    0  1441421413  |1 2 4 5 7  |1 2 4 7 9 
  -0.013949457750956    0  4144134112  |0 2 3 6 9  |0 2 3 5 6 
   0.013949451191290    0  4144113124  |0 2 3 8 9  |0 2 3 6 9 
   0.013949089830413    0  4144124113  |0 2 3 5 6  |0 2 3 6 9 
  -0.013949084143742    0  4144112134  |0 2 3 6 9  |0 2 3 8 9 
  -0.013718865602486    0  2432431231  |0 1 3 4 7  |1 2 4 5 8 
  -0.013718786575210    0  3432421321  |1 3 4 5 8  |0 1 2 4 7 
   0.013717093343679    0  2423431231  |0 1 2 4 7  |1 3 4 5 8 
   0.013717053452604    0  3423421321  |1 2 4 5 8  |0 1 3 4 7 
  -0.013603453658670    0  2314413241  |0 3 4 7 8  |1 3 4 6 8 
   0.013603438223581    0  3441241312  |1 2 4 5 9  |0 1 2 5 7 
  -0.013602392755193    0  3214412341  |1 3 4 6 8  |0 3 4 7 8 
   0.013602283167252    0  2441341213  |0 1 2 5 7  |1 2 4 5 9 
   0.013499554460484    0  1444121314  |1 2 3 5 9  |1 2 3 7 9 
   0.013499491875655    0  1144414231  |2 3 4 6 7  |2 3 4 6 8 
  -0.013499314443579    0  1144414321  |2 3 4 6 8  |2 3 4 6 7 
  -0.013499294349501    0  1444131214  |1 2 3 7 9  |1 2 3 5 9 
   0.013489917568395    0  1414421341  |1 3 4 5 8  |1 3 4 7 8 
   0.013489807308608    0  1441441231  |1 2 4 5 7  |1 2 4 5 8 
  -0.013489599633454    0  1414431241  |1 3 4 7 8  |1 3 4 5 8 
  -0.013489580354311    0  1441441321  |1 2 4 5 8  |1 2 4 5 7 
   0.013455833447318    0  4114414231  |0 3 4 6 7  |0 3 4 6 8 
   0.013455791911944    0  4441121314  |0 1 2 5 9  |0 1 2 7 9 
  -0.013455454662890    0  4441131214  |0 1 2 7 9  |0 1 2 5 9 
  -0.013455446030955    0  4114414321  |0 3 4 6 8  |0 3 4 6 7 
   0.013449275093143    0  4141443121  |0 2 4 5 8  |0 2 4 5 6 
  -0.013449241030634    0  4414131142  |0 1 3 8 9  |0 1 3 5 8 
  -0.013448937792102    0  4141442131  |0 2 4 5 6  |0 2 4 5 8 
   0.013448900353306    0  4414121143  |0 1 3 5 8  |0 1 3 8 9 
   0.013362179055177    0  2443231312  |0 1 2 4 9  |1 2 3 5 7 
  -0.013362176687178    0  3324413221  |2 3 4 7 8  |0 1 3 4 6 
   0.013360508408802    0  2234412331  |0 1 3 4 6  |2 3 4 7 8 
  -0.013360394079619    0  3442321213  |1 2 3 5 7  |0 1 2 4 9 
   0.013285242232426    0  4143214114  |0 2 4 6 9  |0 2 3 6 9 
   0.013285195386471    0  4324114114  |0 2 3 6 9  |0 1 3 6 9 
  -0.013284762987295    0  4142314114  |0 2 3 6 9  |0 2 4 6 9 
