# EDGA: state=0 mode=genetic completeness=0.9900075036 n_det=11857 gen=27
  -0.014116703896713  4423211233  |0 1 2 4 7  |0 1 3 8 9 
   0.014116647688280  4432311322  |0 1 3 8 9  |0 1 2 4 7 
   0.014116555000681  3234422311  |1 3 4 5 6  |0 2 3 4 7 
  -0.014116531121728  2324433211  |0 2 3 4 7  |1 3 4 5 6 
  -0.014041806508826  1414441231  |1 3 4 5 7  |1 3 4 5 8 
   0.014041793173618  1414441321  |1 3 4 5 8  |1 3 4 5 7 
  -0.014041774336497  4414112314  |0 1 3 6 9  |0 1 3 7 9 
   0.014041771363794  4414113214  |0 1 3 7 9  |0 1 3 6 9 
  -0.013780348998518  4411411423  |0 1 4 7 8  |0 1 4 7 9 
   0.013780339586774  4411411432  |0 1 4 7 9  |0 1 4 7 8 
   0.013780317784021  4114423411  |0 3 4 5 7  |0 3 4 6 7 
  -0.013780316305161  4114432411  |0 3 4 6 7  |0 3 4 5 7 
  -0.013766978335287  4233412231  |0 1 4 6 7  |0 2 3 4 8 
  -0.013766971682269  4223412331  |0 1 2 4 6  |0 3 4 7 8 
   0.013766945568077  4322413321  |0 2 3 4 8  |0 1 4 6 7 
   0.013766938821027  4332413221  |0 3 4 7 8  |0 1 2 4 6 
  -0.013665966645318  1441441231  |1 2 4 5 7  |1 2 4 5 8 
  -0.013665963198829  4144112314  |0 2 3 6 9  |0 2 3 7 9 
   0.013665961423320  1441441321  |1 2 4 5 8  |1 2 4 5 7 
   0.013665953623231  4144113214  |0 2 3 7 9  |0 2 3 6 9 
  -0.013646335123627  1444141123  |1 2 3 5 8  |1 2 3 5 9 
   0.013646326462322  1444141132  |1 2 3 5 9  |1 2 3 5 8 
   0.013646308565213  1444123114  |1 2 3 5 9  |1 2 3 6 9 
  -0.013646300357187  1444132114  |1 2 3 6 9  |1 2 3 5 9 
  -0.013608693456535  1244434111  |1 2 3 4 6  |2 3 4 5 6 
